evento_id;_CarrierDelay;_WeatherDelay;_NASDelay
24450;1195.0;5;38.00
24451;1956.0;8;21.00
24452;991.0;4;19.00
24453;270.0;2;21.00
24454;746.0;3;30.00
24455;859.0;4;21.00
24456;782.0;4;378.00
24457;109.0;1;43.00
24458;761.0;4;64.00
24459;746.0;3;29.00
24460;636.0;3;78.00
24461;2611.0;11;62.00
24462;1107.0;5;68.00
24463;516.0;3;5.00
24464;334.0;2;81.00
24465;1979.0;8;6.00
24466;1195.0;5;25.00
24467;2218.0;9;7.00
24468;1956.0;8;36.00
24469;1355.0;6;20.00
24470;1050.0;5;194.00
24471;689.0;3;13.00
24472;987.0;4;12.00
24473;1590.0;7;31.00
24474;1978.0;8;31.00
24475;1024.0;5;7.00
24476;1416.0;6;17.00
24477;1276.0;6;59.00
24478;240.0;1;37.00
24479;240.0;1;1.00
24480;1312.0;6;281.00
24481;1199.0;5;49.00
24482;2556.0;11;198.00
24483;599.0;3;37.00
24484;2139.0;9;11.00
24485;780.0;4;79.00
24486;226.0;1;210.00
24487;1010.0;5;15.00
24488;442.0;2;102.00
24489;1087.0;5;1.00
24490;545.0;3;18.00
24491;528.0;3;445.00
24492;594.0;3;54.00
24493;2239.0;9;5.00
24494;109.0;1;15.00
24495;694.0;3;8.00
24496;1416.0;6;87.00
24497;404.0;2;71.00
24498;630.0;3;4.00
24499;2182.0;9;15.00
24500;931.0;4;219.00
24501;1919.0;8;0.00
24502;425.0;2;14.00
24503;584.0;3;20.00
24504;453.0;2;76.00
24505;757.0;4;15.00
24506;405.0;2;65.00
24507;1199.0;5;23.00
24508;1096.0;5;77.00
24509;1671.0;7;34.00
24510;931.0;4;30.00
24511;773.0;4;26.00
24512;1145.0;5;2.00
24513;528.0;3;50.00
24514;1865.0;8;10.00
24515;981.0;4;12.00
24516;981.0;4;16.00
24517;1535.0;7;1.00
24518;774.0;4;0.00
24519;594.0;3;20.00
24520;1535.0;7;6.00
24521;1084.0;5;33.00
24522;1096.0;5;74.00
24523;297.0;2;9.00
24524;1721.0;7;8.00
24525;1024.0;5;40.00
24526;1900.0;8;25.00
24527;1953.0;8;8.00
24528;2182.0;9;12.00
24529;1020.0;5;123.00
24530;594.0;3;64.00
24531;1426.0;6;26.00
24532;1501.0;7;4.00
24533;545.0;3;30.00
24534;1050.0;5;146.00
24535;528.0;3;18.00
24536;1035.0;5;47.00
24537;1282.0;6;36.00
24538;1282.0;6;9.00
24539;859.0;4;135.00
24540;874.0;4;22.00
24541;1541.0;7;11.00
24542;501.0;3;0.00
24543;1039.0;5;38.00
24544;989.0;4;60.00
24545;931.0;4;24.00
24546;1020.0;5;54.00
24547;1175.0;5;37.00
24548;1589.0;7;12.00
24549;1517.0;7;13.00
24550;907.0;4;62.00
24551;509.0;3;7.00
24552;2677.0;11;196.00
24553;852.0;4;142.00
24554;872.0;4;13.00
24555;1501.0;7;152.00
24556;1501.0;7;858.00
24557;1237.0;5;23.00
24558;1175.0;5;21.00
24559;2079.0;9;28.00
24560;1572.0;7;29.00
24561;821.0;4;152.00
24562;1900.0;8;9.00
24563;1029.0;5;38.00
24564;1175.0;5;133.00
24565;1124.0;5;55.00
24566;1587.0;7;28.00
24567;549.0;3;11.00
24568;1995.0;8;25.00
24569;1428.0;6;18.00
24570;1298.0;6;211.00
24571;2105.0;9;14.00
24572;1956.0;8;30.00
24573;1086.0;5;216.00
24574;1084.0;5;5.00
24575;692.0;3;7.00
24576;1029.0;5;44.00
24577;2182.0;9;2.00
24578;1250.0;6;3.00
24579;1865.0;8;9.00
24580;205.0;1;17.00
24581;1020.0;5;20.00
24582;1749.0;7;15.00
24583;726.0;3;11.00
24584;748.0;3;17.00
24585;1195.0;5;23.00
24586;1084.0;5;22.00
24587;205.0;1;13.00
24588;879.0;4;18.00
24589;591.0;3;1.00
24590;991.0;4;24.00
24591;393.0;2;7.00
24592;695.0;3;47.00
24593;503.0;3;6.00
24594;859.0;4;13.00
24595;545.0;3;82.00
24596;680.0;3;13.00
24597;761.0;4;16.00
24598;1142.0;5;11.00
24599;2422.0;10;39.00
24600;1013.0;5;71.00
24601;1107.0;5;45.00
24602;334.0;2;5.00
24603;1005.0;5;97.00
24604;862.0;4;10.00
24605;196.0;1;58.00
24606;1074.0;5;222.00
24607;386.0;2;37.00
24608;1671.0;7;28.00
24609;1522.0;7;10.00
24610;448.0;2;11.00
24611;1237.0;5;3.00
24612;1528.0;7;33.00
24613;1355.0;6;1.00
24614;1299.0;6;63.00
24615;680.0;3;12.00
24616;546.0;3;32.00
24617;867.0;4;16.00
24618;733.0;3;85.00
24619;1978.0;8;277.00
24620;930.0;4;1.00
24621;980.0;4;142.00
24622;2248.0;9;41.00
24623;1042.0;5;216.00
24624;1042.0;5;23.00
24625;2158.0;9;17.00
24626;2158.0;9;6.00
